medical_abstract,triage_level,urgent_score,nonurgent_score,confidence,binary_prediction,n_tokens,was_truncated,original_condition_labels,original_condition_names,original_splits,pseudolabel_model,pseudolabel_threshold,max_length
"Acute deterioration of renal function associated with enteric hyperoxaluria. Enteric hyperoxaluria due to malabsorption syndromes has been well documented to cause renal calculi and chronic tubulointerstitial renal damage. Rarely, in the setting of intestinal bypass operations for morbid obesity, enteric hyperoxaluria has produced acute renal failure. We report two patients who suffered acute deterioration of renal function associated with increased intestinal absorption and renal excretion of oxalate associated with steatorrhea. One patient had a large portion of his small bowel resected many years prior to the onset of the renal failure and the second patient had chronic pancreatitis causing steatorrhea. Both patients had renal biopsy documentation of the acute nature of the tubular damage produced by oxalate deposition. The mechanisms of their deterioration of renal function may relate to sudden increases in steatorrhea in association with episodes of volume depletion. Enteric hyperoxaluria may be an easily overlooked and potentially preventable etiology of acute renal dysfunction.",urgente,0.8798958659172058,0.1201041489839553,0.8798958659172058,urgent,262,True,2|5,digestive system diseases|general pathological conditions,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acupuncture and chronic pain: a criteria-based meta-analysis. A literature search revealed 51 controlled clinical studies on the effectiveness of acupuncture in chronic pain. These studies were reviewed using a list of 18 predefined methodological criteria. A maximum of 100 points for study design could be earned in four main categories: (a) comparability of prognosis, (b) adequate intervention, (c) adequate effect measurement and (d) data presentation. The quality of even the better studies proved to be mediocre. No study earned more than 62% of the maximum score. The results from the better studies (greater than or equal to 50% of the maximum score) are highly contradictory. The efficacy of acupuncture in the treatment of chronic pain remains doubtful.",normal,0.0657724514603614,0.934227466583252,0.934227466583252,non-urgent,169,False,3|5,nervous system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Adjuvant chemotherapy of breast cancer. Many women will not be cured of breast cancer by even the best early detection and surgical techniques because of micrometastases present at diagnosis. Adjuvant therapy has extended the disease-free interval for most patients and lengthens overall survival for many. Combination chemotherapy has become the standard form of adjuvant treatment for premenopausal women with breast cancer and positive lymph nodes after primary therapy. With minimal toxicity, disease-free and overall survival are improved. Results are less impressive or less clear-cut for postmenopausal women or any woman with negative lymph nodes. Long-term toxicities of adjuvant chemotherapy may include second malignancies and cardiac dysfunction. Although these complications probably are rare, they must be considered seriously when weighing chemotherapy for patients in whom its benefits may be slight. Innovations likely to become standard in adjuvant therapy decision making include risk assessment with new prognostic indicators (growth fraction, oncogene expression) and investigation of dose intensification using bone marrow growth factors and autologous stem-cell support.",atenção,0.5267389416694641,0.4732610583305359,0.5267389416694641,urgent,240,False,1,neoplasms,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Access to cancer prevention, detection, and treatment. The American Cancer Society Hearings on Cancer and the Poor made visible to the nation the harsh realities and consequences of lack of access to health care among the poor and uninsured in America. Access to care is more than mere availability; it is also financial accessibility, effectiveness, acceptability, appropriateness, and comprehensiveness of care. The problems and consequences of lack of health care access and its impact on the cancer problem among poor Americans are explored, and ways practitioners and public advocates can improve access are suggested. Local communities have risen to action to make health care more accessible. Successful programs have done their research to document access problems; then they have taken their findings to county governments to request additional funding and to health care institutions to request institutional policy and service changes to make health care more available and accessible.",normal,0.0902634486556053,0.9097365736961364,0.9097365736961364,non-urgent,174,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute pulmonary embolism triggered by the act of defecation. Pulmonary embolism associated with the act of defecation has not been previously well described. Recently, we reported our experience with four patients who presented to us over a 12-month period with syncope, near syncope, or sudden death following the act of defecation. In all four cases, acute pulmonary embolism was shown to be the etiology of the defecation-associated events. A retrospective chart review of all patients with the diagnosis of pulmonary embolism at our institution over a three-year period yielded five additional patients with the diagnosis of defecation-associated pulmonary embolism. These nine patients accounted for 6.8 percent of all patients with a discharge diagnosis of pulmonary embolism seen at our institution during the three-year study period. Six of the nine patients died from their defecation-associated pulmonary embolism. These six deaths accounted for 25 percent of all deaths from pulmonary embolism seen at our institution during the study period. Based on our experience, we suggest that the act of defecation may trigger the development of acute pulmonary embolism in some patients with deep vein thrombosis.",urgente,0.8567308187484741,0.1432691514492035,0.8567308187484741,urgent,257,True,3|5,nervous system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A positron emission tomographic comparison of pulmonary vascular permeability during the adult respiratory distress syndrome and pneumonia. We measured extravascular density (EVD) and the pulmonary transcapillary escape rate (PTCER) for 68Ga-transferrin using positron emission tomography in 14 normal volunteers and 29 patients with radiographic infiltrates, including six patients with congestive heart failure (CHF), eight patients with the adult respiratory distress syndrome (ARDS), and 15 patients with focal pneumonia. Contralateral, radiographically normal regions were also evaluated in the patients with focal pneumonia. Mean EVD was elevated in the patients with CHF, ARDS, and pneumonia in regions of radiographic infiltrate compared with values from normal subjects (p less than 0.05), but it was not significantly different among the three patient groups. PTCER in normal subjects and in patients with CHF was not significantly different (21 +/- 11 versus 44 +/- 16 x 10(-4) min-1, respectively, p = NS). PTCER was elevated in regions of infiltrate because of either pneumonia (173 +/- 99) or ARDS (170 +/- 79). PTCER was also elevated in regions contralateral to those with focal infiltrate during pneumonia, even though these regions were radiographically normal and had normal EVD values. These results suggest that PTCER is a sensitive but nonspecific index of abnormal pulmonary vascular permeability, which may be useful for classifying patients in clinical studies of pulmonary edema.",atenção,0.6222438216209412,0.3777561485767364,0.6222438216209412,urgent,348,True,4,cardiovascular diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A unique indexing splint for use in combined Le Fort and nasal injuries to avoid tracheostomy. Midface fractures with associated displaced and/or comminuted nasal fractures can require tracheostomy for a general anesthetic airway if these fractures are to be reduced simultaneously. We describe a unique indexing splint that allows oral intubation yet also allows simultaneous reduction of midface and nasal fractures under one anesthetic. Furthermore, tracheostomy with its potential complications is avoided. The case report illustrates the technique, and alternative treatments for these injuries are discussed.",atenção,0.6201914548873901,0.3798085749149322,0.6201914548873901,urgent,131,False,3,nervous system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A6--a new 45RO monoclonal antibody for immunostaining of paraffin-embedded tissues. The authors report on the extensive characterization, on normal and pathologic tissues, of the T-cell-specific monoclonal antibody (MoAb) A6, which the authors previously found to identify a fixation- and paraffin-embedding-resistant epitope. A6 reacted with most T lymphocytes, macrophages, and Langerhans' cells of normal tissues and with peripheral T-cell lymphomas (31 of 34), Ki-1+ lymphomas (12 of 18), and T-cell leukemias (1 of 5). All cases of X and non-X histiocytosis examined and monocytic leukemias with mature phenotype only were A6 positive. Three of 47 cases of B-cell lymphoma and leukemia were labeled. Hairy cell leukemias, multiple myelomas, and Hodgkin's and Reed-Sternberg cells were negative. The A6 reactivity was preserved with different fixatives (formalin, Bouin's fluid, Carnoy's fixative, and B5) and decalcification procedures and was slightly enhanced by trypsin digestion. The pattern of reactivity of A6 was similar to that obtained with MoAb UCHL-1, recognizing the CD45RO determinant of leukocyte common antigen; however, in pathologic tissues, A6 labeled a higher percentage of cells than UCHL-1. Cross-blocking and enzyme digestion studies (Pronase E [Sigma Chemical, St. Louis, MO] and neuraminidase [Sigma Chemical]) indicated that the two MoAbs may identify close epitopes on the same molecule. In conclusion, the authors' study indicates that A6 is an excellent reagent for detection of the CD45RO molecule on paraffin-embedded normal and pathologic tissues.",normal,0.1900156885385513,0.8099842667579651,0.8099842667579651,non-urgent,443,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Advanced assessment of the abdomen and gastrointestinal problems. There are many unique physical assessment findings that are associated with specific gastrointestinal disorders. The detection of these findings enables the nurse to manage gastrointestinal emergencies on the patient unit in a timely fashion, preventing deterioration and maintaining the safety of the patient. These skills build well on the traditional, detailed, and comprehensive assessments the nurse makes when using the nursing process. Specific abdominal assessments include detection of signs associated with appendicitis such as rebound tenderness and McBurney's, Rosvig's, and Aaron's signs. The nurse must always be alert to the possibility of peritonitis and the urgency of early detection and treatment. The patient with cirrhosis of the liver presents a distinct clinical picture. There is a need for subtle evaluation of mental status to detect early signs of hepatic coma. Another extra-abdominal assessment of this complication is asterixis. Finally, the assessment of the patient is enhanced when the nurse is able to help identify the location of bleeding. Improving abdominal and gastrointestinal system assessment leads to early detection of nursing problems and appropriate interventions.",urgente,0.8718311786651611,0.1281687915325164,0.8718311786651611,urgent,257,True,2,digestive system diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute changes in the dynamics of the cerebrospinal fluid system during experimental subarachnoid hemorrhage. Early changes in intracranial pressure (ICP), ICP volume index, and resistance to absorption of cerebrospinal fluid induced by experimental subarachnoid hemorrhage were studied in cats. After SAH, the ICP was slightly elevated, and there was a decrease in the buffering capacity of the intracranial space and a sharp rise in outflow resistance. During infusion of blood into the cisterna magna with a constant infusion rate, an extensive increase in ICP could be demonstrated in contrast to the infusion of saline, which caused only slight elevation of ICP. Furthermore, during blood infusion, the ICP level did not reach a plateau phase of pressure, as was demonstrated during infusion of saline. It is suggested that the marked increase in ICP during blood infusion into the subarachnoid space is caused by intracranial volume loading and the simultaneous increase in cerebrospinal fluid outflow resistance. It is concluded that the reported relationship between increased cerebrospinal fluid outflow resistance and increased ICP supports the hypothesis of a strong increase in ICP during subarachnoid hemorrhage in human subjects.",atenção,0.6584979295730591,0.3415020108222961,0.6584979295730591,urgent,284,True,4,cardiovascular diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute appendicitis in the pregnant patient. Acute appendicitis is the most common surgical problem in pregnancy requiring emergent intervention. To establish a contemporary patient profile and formulate an effective management strategy, a retrospective review was conducted of 84 pregnant patients who underwent laparotomy with a preoperative diagnosis of acute appendicitis. Gestational stage at presentation included the first trimester in 27 patients (32%), the second trimester in 37 patients (44%), the third trimester in 13 patients (16%), and the puerperium in 7 patients (8%). Fifty-four patients (64%) had pathologically proven acute appendicitis; the incidence did not vary by trimester. Other intra-abdominal conditions were detected in 15 patients (18%). There were no significant differences between patients with positive and negative laparotomies (or among trimesters) regarding frequency of presenting symptoms and signs or laboratory results. Operation occurred within 24 hours of symptom onset in 19 of 54 (35%) instances of proven acute appendicitis. Perforation occurred in 23 of 54 patients (43%), all of whom had symptoms exceeding 24 hours (p less than 0.0005). Five instances of perinatal death and one case of extreme perinatal morbidity were associated with negative laparotomies; only one of these was attributed to operation itself. No adverse long-term maternal morbidity or mortality occurred. Wound infection developed in seven cases of acute appendicitis (six perforated) and two negative explorations. We conclude that (1) gestational physiologic changes obscure the accurate diagnosis of acute appendicitis; (2) the natural history of acute appendicitis is not affected by trimester of presentation; and (3) adverse sequelae of acute appendicitis are obviated by prompt operative exploration and prevention of appendiceal perforation.",urgente,0.8311094045639038,0.1688906699419021,0.8311094045639038,urgent,427,True,2|5,digestive system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A provider's view of prevention approaches in a prepaid group practice. Kaiser Permanente's health care delivery system and its efforts to integrate public health preventive medicine and curative medicine are described. The author advocates an increased focus on prepaid delivery systems like Kaiser Permanente as the best vehicle to achieve the full promise of health screening, health education, and life-style modification. Because these systems have brought the proper incentives into alignment, prevention and health promotion have become effective tools to achieve cost containment goals. A number of Kaiser Permanente projects are highlighted that demonstrate integration of public health preventive medicine and curative medicine: the Northern California Region's uniform health appraisal examination, which is linked with health education and counseling; the Colorado Region's breast cancer screening program, which is expected to show a higher rate of early breast cancer detection than in the general population; cooperative efforts with two Northern California towns to reduce smoking through a community-wide project; educational theatre programs aimed at early intervention and education of children before high-risk behaviors have become established life-style; and research projects that are possible because of an integrated program. Also, several forces that could endanger integrated systems including cost control practices of employers and insurers, and public policy such as mandating specific benefits, are noted.",normal,0.0358819998800754,0.9641180634498596,0.9641180634498596,non-urgent,267,True,1,neoplasms,test,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Abnormal differentiation of human papillomavirus-induced laryngeal papillomas. We studied the proliferation and differentiation of human laryngeal papillomas, which are benign tumors induced by human papillomaviruses. Immunofluorescent stains of tissues for a number of differentiation-specific proteins showed abnormal differentiation. Papilloma tissue fragments in vitro showed a slightly decreased fraction of proliferating cells that incorporated tritiated thymidine and a markedly reduced incorporation of tritiated uridine when compared with normal tissue. We propose that papillomavirus infection results in normal basal cell proliferation but abnormal terminal differentiation and that this abnormality significantly contributes to the hyperplasia of the papillomas.",normal,0.2197064459323883,0.7802935242652893,0.7802935242652893,non-urgent,166,False,1|5,neoplasms|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A phase I trial of cisplatin in hypertonic saline and escalating doses of 5-fluorouracil by continuous intravenous infusion in patients with advanced malignancies. Thirty-four patients with incurable solid tumors were treated in a Phase I trial with a fixed dose of high-dose cisplatin (CDDP) administered in hypertonic saline and escalating doses of infusional 5-fluorouracil (5-FU). Five treatment levels of 5-FU, ranging from 500 to 900 mg/m2/day for 5 days, were studied. Leukopenia, thrombocytopenia, and oral mucositis were the dose-limiting toxicities encountered. Nephrotoxicity was minimal. Ototoxicity and peripheral neuropathies were rare and mild in this patient group, but most patients received only a small number of treatment cycles. Diarrhea was not dose-limiting. Two complete responses (one non-small cell lung cancer and one sweat gland carcinoma) were observed. No other major responses were noted. With the dose of CDDP set at 35 mg/m2/day for 5 consecutive days, the maximum tolerated dose (MTD) of a concurrent 5-day 5-FU infusion was found to be 900 mg/m2/day. The recommended dosages for Phase II trials are 35 mg/m2/day CDDP and 800 mg/m2/day 5-FU for 5 consecutive days. Cancers of the lung, breast, gastrointestinal tract, and genitourinary tract would be reasonable targets for Phase II studies.",atenção,0.6149430871009827,0.3850569128990173,0.6149430871009827,urgent,369,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute and chronic stress in duodenal ulcer disease. Acute and chronic life event stressors were objectively assessed in a sample of duodenal ulcer patients and community controls. Stress was assessed on two dimensions, ""personal threat"" and ""goal frustration."" Chronic stressors (those of 6 months' duration or more) involving high goal frustration were significantly and independently associated with the onset and relapse of duodenal ulcers, as were acute events of high immediate but transient personal threat.",normal,0.0916659235954284,0.9083340764045716,0.9083340764045716,non-urgent,110,False,2|5,digestive system diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"An evolutionary perspective on salt, hypertension, and human genetic variability. Natural selection for electrolyte conservation has likely been the norm throughout human evolutionary history. However, the current patterns of excessive dietary salt intake create the potential for salt overload. Under these conditions, hypertension may be considered an expected pathological response to an evolutionarily new constraint. The transatlantic Middle Passage may have created a genetic bottleneck for salt conservation in African-Americans. Although the initial consequences of this important historical event probably constricted genetic variability and further magnified the potential for salt-sensitive hypertension, the Middle Passage undoubtedly also served as a more generalized major source of environmental stress and may have stimulated subsequent hereditary diversity in the survivors of this holocaust and their descendants. Accelerated rates of mutation, genetic recombination, and transposable genetic elements in conjunction with enhanced opportunities for gene flow, new selective pressures, and drift have all contributed to the tremendous heterogeneity of contemporary African-Americans. It is unlikely that a single genetic event, even of the severity of the Middle Passage, can account comprehensively for the apparent susceptibility of this macroethnic group to high blood pressure and hypertension.",normal,0.0558919236063957,0.9441080689430236,0.9441080689430236,non-urgent,267,True,4|5,cardiovascular diseases|general pathological conditions,test|train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A randomized control trial of two cervical spatulas The sampling efficacy of the Ayre and Rocket cervical spatulas was compared in a randomized controlled trial involving 533 women who were attending a colposcopy clinic either for investigation of cytological abnormality or for review after treatment of CIN. Smears were compared with respect to the presence of cytological abnormality and two types of normal cervical epithelial cells (endocervical and immature metaplastic cells) which are considered indicators of adequate cytological sampling. Smears taken with the Rocket spatula were significantly less likely to contain immature metaplastic cells (95% CI on difference in proportion; 5-30%), but more likely to contain endocervical cells (95% CI 16-36%). No significant difference was found in the proportion of smears containing one or other type of indicator cell or in the yield of abnormal smears. It is concluded that the Rocket spatula offered no advantage when used in these circumstances. This study illustrates how spurious conclusions of sampling efficacy can be drawn if only one type of indicator cell is used as an endpoint.",normal,0.1445516645908355,0.855448305606842,0.855448305606842,non-urgent,263,True,1|5,neoplasms|general pathological conditions,test|train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Abnormal cardiac sensitivity in patients with chest pain and normal coronary arteries. The causes of chest pain in patients found to have angiographically normal coronary arteries during cardiac catheterization remain controversial. Cardiac sensitivity to catheter manipulation, pacing at various stimulus intensities and intracoronary injection of contrast medium was examined in several groups of patients who underwent cardiac catheterization. Right heart (especially right ventricular) catheter manipulation and pacing and intracoronary contrast medium provoked chest pain typical of that previously experienced in 29 (81%) of 36 patients with chest pain and angiographically normal coronary arteries and 15 (46%) of 33 symptomatic patients with hypertrophic cardiomyopathy. In contrast, only 2 (6%) of 33 symptomatic patients with coronary artery disease experienced their typical chest pain with these sensitivity tests (p less than 0.001). None of 10 patients with valvular heart disease but without a chest pain syndrome experienced any sensation with these tests. Cutaneous pain threshold testing demonstrated that patients with chest pain and normal coronary arteries had a higher pain threshold to thermal stimulation compared with patients who had coronary artery disease or hypertrophic cardiomyopathy. No relation existed between cardiac sensitivity and cutaneous sensitivity testing. Thus, patients who have chest pain despite angiographically normal coronary arteries may have abnormal cardiac sensitivity to a variety of stimuli. This increased sensitivity may be of causal importance to their chest pain syndrome or may contribute to their perception of ischemia-induced pain. The same phenomenon was also commonly seen in symptomatic patients with hypertrophic cardiomyopathy. Whether this phenomenon represents abnormal activation of pain receptors within the heart or abnormal processing of visceral afferent neural impulses in the peripheral or central nervous system is unknown.",normal,0.2457501143217086,0.7542498707771301,0.7542498707771301,non-urgent,413,True,2|4|5,digestive system diseases|cardiovascular diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A standard dose of radiation for ""microscopic disease"" is not appropriate. Elective irradiation of sites of potential occult tumor spread is often part of a patient's radiation therapy program. The required radiation dose (D) depends on the probability that occult disease exists (P(occ)), the number of sites at risk (A), the number of tumor clonogens present (Ni), their radiation sensitivity, and the desired control rate. An exponential model of cell survival is used to quantify the importance of these factors. Control Probability = [1 - Pocc x (1 - e-Ni x (SF2)D/2)]A; SF2 = surviving fraction after 2 Gy. Implications for clinical radiation therapy include: 1. Since the number of clonogens in an occult site may vary from 10 degrees to 10(8), Ni is the major determinant of the required dose. The intrinsic radiation sensitivity of the clonogens (SF2) is also extremely important in determining the dose. Other factors are less influential since they vary less. 2. The variability of Ni (8 logs) is larger than the variation in cell number seen with gross disease (1 cm3 versus 1000 cm3, 3 logs). When Ni approximately 10(8), the required dose approaches that needed for small volume gross disease (10(9) cells, 1 cm3). 3. The dose prescribed to elective sites should reflect the risk of occult disease based on the primary tumor site, stage, and grade. 4. Regions where clinicoradiologic evaluation is difficult (e.g., pelvis and obese neck) require higher doses because macroscopic tumor deposits may exist. 5. Relatively low doses (10 to 30 Gy) are often thought to be inadequate for microscopic tumor. However, similar doses have been reported to sterilize microscopic tumor in ovarian, rectal, bladder, breast, and head and neck carcinomas. Relatively low doses should not be discounted since they may be useful in select cases when normal tissue tolerances and/or previous irradiation treatment limit the radiation dose.",normal,0.1555851101875305,0.8444148302078247,0.8444148302078247,non-urgent,479,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acquired von Willebrand's syndrome. Therapeutic and diagnostic implications. Acquired von Willebrand's syndrome is a newly recognized bleeding diathesis thought to be caused by autoantibodies to the von Willebrand factor. Acquired von Willebrand's syndrome has been reported in association with lymphoproliferative disorders and benign monoclonal gammopathies. Clinical features and laboratory abnormalities of this disease are similar to congenital von Willebrand's disease, but the optimal treatment may differ. We describe a 75-year-old man with chronic lymphocytic leukemia and recurrent epistaxis and also discuss the pathogenesis, diagnosis, and treatment of both the congenital and acquired disorders.",atenção,0.6193788051605225,0.3806211352348327,0.6193788051605225,urgent,173,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A case of massive true thymic hyperplasia with non-Hodgkin's lymphoma. A case of massive true thymic hyperplasia with non-Hodgkin's lymphoma of the mediastinum is reported in a 14-year-old boy. Computed tomographic scan of the chest showed a mass of the anterior mediastinum and conspicuous swelling of the lymph nodes in the upper and lower mediastinum. They were grossly resected. The tumor of the anterior mediastinum was histologically diagnosed as true thymic hyperplasia. All of the mediastinal lymph nodes were diagnosed as non-Hodgkin's lymphoma, diffuse, mixed small and large cell type.",urgente,0.7327269315719604,0.2672730982303619,0.7327269315719604,urgent,171,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"A case of classical mycosis fungoides associated with human T-cell lymphotropic virus type I. A 72-year-old male patient from north-eastern Iran developed the typical clinical and histopathological features of mycosis fungoides with lymphadenopathy, but without any other systemic involvement. Human T-cell lymphotropic virus (HTLV-I) antibodies were detected in the patient's serum by two different ELISAs and by Western blot using purified viral particles from MT-2 culture supernatants. Cultured peripheral blood lymphocytes were positive for labelling with anti-HTLV-I serum. Southern blot hybridization of DNA extracted from a skin tumour and from an involved lymph node revealed integrated proviral DNA with identical restriction patterns. This case supports a relationship between mycosis fungoides and HTLV-I and may indicate a new region of endemic HTLV-I infection.",atenção,0.4096699655056,0.5903300046920776,0.5903300046920776,non-urgent,208,False,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
Aggravation of myasthenia gravis by erythromycin. Erythromycin is not currently recognized as causing clinical aggravation of myasthenia gravis. We report the case of a patient who experienced exacerbations of myasthenia gravis subsequent to each of several doses of intravenous erythromycin. We suggest that erythromycin can cause clinical worsening in patients with disease of the neuromuscular junction.,atenção,0.6443790793418884,0.3556209504604339,0.6443790793418884,urgent,110,False,2|3|5,digestive system diseases|nervous system diseases|general pathological conditions,test|train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Adult open heart surgery in New York State. An analysis of risk factors and hospital mortality rates This study analyzes data from New York State's new Cardiac Surgery Reporting System, which contains information about cardiac preoperative risk factors, postoperative complications, and hospital discharge. The purposes of the study were to determine the set of significant clinical risk factors and to identify cardiac surgical centers most likely to have serious quality-of-care problems. Significant risk factors for in-hospital death were age, gender, ejection fraction, previous myocardial infarction, number of open heart operations in previous admissions, diabetes requiring medication, dialysis dependence, disasters (acute structural defect, renal failure, cardiogenic shock, gunshot), unstable angina, intractable congestive heart failure, left main trunk narrowed more than 90%, and type of operation performed. Four of the 28 hospitals had significantly higher mortality rates than expected, given the risk factors of their patients. Subsequent site visits and medical record reviews confirmed that these facilities had high percentages of quality-of-care problems among cases resulting in mortality.",atenção,0.6596056222915649,0.340394377708435,0.6596056222915649,urgent,233,False,4,cardiovascular diseases,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Alcohol consumption--a risk factor for hemorrhagic and non-hemorrhagic stroke. PURPOSE: The risks of alcohol consumption and its association with stroke were studied in 621 patients with stroke and 573 control subjects using case-control methods. PATIENTS AND METHODS: Patients with stroke were subdivided into 193 with subarachnoid hemorrhage, 91 with intracerebral hemorrhage, and 337 with cerebral infarction. Data on recent alcohol consumption were obtained by questionnaire in patients with stroke and compared with data from an occupational screening survey in control subjects. RESULTS: Relative risks, adjusted for confounding variables, exhibited J-shaped associations with increasing levels of alcohol consumption classified into four categories--abstainer, 1 to 90 g, 100 to 390 g, and greater than or equal to 400 g weekly). The individual risks were 1, 0.7, 0.5, and 1.3 for subarachnoid hemorrhage; 1.0, 0.6, 0.5., and 2.5 for intracerebral hemorrhage, and 1.0, 0.6, 0.7, and 2.4 for cerebral infarction for men and women combined. CONCLUSIONS: The results suggest that low levels of alcohol consumption may have some protective effect upon the cerebral vasculature, whereas heavy consumption predisposes to both hemorrhagic and non-hemorrhagic stroke.",normal,0.2032703906297683,0.796729564666748,0.796729564666748,non-urgent,336,True,3|4|5,nervous system diseases|cardiovascular diseases|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Acute leukemia and related entities. Impact of new technology. Twenty-seven cases of acute leukemia and related entities were evaluated by morphologic examination, cytochemical study, terminal deoxynucleotidyltransferase study, immunophenotyping, cytogenetic analysis, ultrastructural cytochemical study, and gene rearrangement analysis to determine the impact on the determination of the French-American-British (FAB) classification and the definitive diagnosis. The definitive diagnosis contained prognostic, diagnostic, and treatment information beyond the FAB classification that affected the disease course and patient management. All diagnostic variables were evaluated in each case and were labeled essential, ambivalent, supportive, or noncontributory. Except for gene rearrangement analysis, all variables we studied contributed essential data to establish the definitive diagnosis. Ambivalent findings were rare but could be explained with the knowledge of the total data. All variables, except cytochemical study, whose results were almost always essential, contributed supportive data. Noncontributory data only occurred with cytogenetic analysis in cases that demonstrated normal karyotypes. The FAB classification was established in 20 (74%) of the cases by use of morphologic examination, cytochemical study, and terminal deoxynucleotidyltransferase study. With use of the same variables, however, the definitive diagnosis, whose determination required all data, was established in only 15 (55.5%) of the cases. The addition of immunophenotyping increased the definitive diagnosis to 25 (92.5%) of the cases. The use of ultrastructural myeloperoxidase and platelet peroxidase analysis enabled us to definitively diagnose the remaining two cases (27 cases [100%]). Cytogenetic analysis revealed four cases in which essential information was added to the diagnosis. However, because the cytogenetic information usually was not immediately available, the result did not affect the immediate diagnosis or treatment. Surprisingly, the gene rearrangement studies did not yield essential data in any case and in a few cases contributed ambivalent data. This finding should not exclude gene rearrangement analysis in selected cases; however, the data should always be interpreted in light of all clinical and laboratory findings. This study clearly demonstrates the importance of a multifaceted approach to the understanding of the acute leukemias and related entities and shows the impact of newer technologies on reaching a definitive diagnosis.",atenção,0.3197880387306213,0.6802119612693787,0.6802119612693787,non-urgent,544,True,1|5,neoplasms|general pathological conditions,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Activation and in vitro expansion of tumor-reactive T lymphocytes from lymph nodes draining human primary breast cancers. The feasibility of in vitro activation of lymphocytes from the draining lymph nodes (DLN) of breast cancer patients was examined. Lymphocytes isolated from 48 DLN from 12 patients were examined for their proliferative responses to rIL-2, autologous tumor cells, or rIL-2 plus tumor cells. Three general patterns of cellular responses were observed. Cells from some DLN (17%) were unresponsive to any stimuli. Lymphocytes from 52% of the DLN responded moderately to rIL-2 alone. The combination of rIL-2 and tumor antigen had a synergistic effect on the proliferation of cells from 31% of the DLN assayed. Phorbol dibutyrate and ionomycin plus rIL-2 stimulated expansion of DLN lymphocytes by up to 850-fold after 35 days. These expanded cell populations, as well as those stimulated with antigen plus rIL-2, were predominantly CD3+ and CD16- cells, varying in proportions of CD4+ and CD8+ subsets. Both populations were cytotoxic against autologous tumor, MCF-7, and K562 target cells.",atenção,0.3024832904338836,0.6975167393684387,0.6975167393684387,non-urgent,289,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
"Adult T-cell leukaemia/lymphoma in Brazil and its relation to HTLV-I In a series of fourteen patients with adult T-cell lymphoma-leukaemia (ATLL) in Brazil the main features were lymphadenopathy, hepatosplenomegaly, hypercalcaemia, and high leucocyte counts, with abnormal lymphoid cells which had irregular nuclei. The series included the youngest patient with ATLL so far (18 months). Analysis with monoclonal antibodies showed a mature T-cell phenotype (CD4+, CD8-). Antibodies to HTLV-I and/or integration of HTLV-I proviral DNA were found in eleven patients. In the other three HTLV-I DNA could not be demonstrated even by means of the polymerase chain reaction; they therefore had HTLV-I-negative ATLL. This report of ATLL in Brazil corroborates serological reports that HTLV-I may be endemic in some parts of that country. Follow-up studies are required to identify precisely the main route of transmission of HTLV-I in South America and the risk factors for the development of ATLL in carriers.",atenção,0.5091779828071594,0.4908220171928406,0.5091779828071594,urgent,267,True,1,neoplasms,train,Yuvrajxms09/biobert-triage-classifier,0.7,256
